variant,GENE,outcome,current_symbol,n_cells_expressed,pct_cells_expressed,total_expression,collides_with_existing_row
all_genes,RP11-202A13.1,not an HGNC former symbol,,14,0.0261618672098368,701.0950240542836,False
all_genes,AC098973.1,not an HGNC former symbol,,12,0.0224244576084315,691.8830840563226,False
all_genes,RP11-700N1.1,not an HGNC former symbol,,15,0.0280305720105394,683.9120970744341,False
all_genes,RP11-589B3.6,not an HGNC former symbol,,13,0.0242931624091342,681.4267229242516,False
all_genes,RP11-221J22.1,not an HGNC former symbol,,11,0.0205557528077289,678.6015905913853,False
all_genes,CTD-2555O16.1,not an HGNC former symbol,,12,0.0224244576084315,678.5545686913152,False
all_genes,KB-1458E12.1,not an HGNC former symbol,,16,0.0298992768112421,678.0737264401944,False
all_genes,RP11-484N16.1,not an HGNC former symbol,,15,0.0280305720105394,675.4164931947112,False
all_genes,AC007796.1,not an HGNC former symbol,,18,0.0336366864126473,662.3426941309388,False
all_genes,RP11-297H3.3,not an HGNC former symbol,,15,0.0280305720105394,661.9368574413002,False
all_genes,RP11-98J9.1,not an HGNC former symbol,,17,0.0317679816119447,661.1587450838892,False
all_genes,AC008440.10,not an HGNC former symbol,,12,0.0224244576084315,659.2490549455804,False
all_genes,AC012074.2,not an HGNC former symbol,,12,0.0224244576084315,656.040309979247,False
all_genes,RP11-956E11.1,not an HGNC former symbol,,15,0.0280305720105394,654.9801046216708,False
all_genes,RP11-327F22.1,not an HGNC former symbol,,12,0.0224244576084315,650.2769365004781,False
all_genes,RP3-337H4.10,not an HGNC former symbol,,13,0.0242931624091342,625.4050967091606,False
all_genes,AC018737.3,not an HGNC former symbol,,16,0.0298992768112421,622.0257461176864,False
all_genes,RP11-75N6.3,not an HGNC former symbol,,12,0.0224244576084315,620.77474477681,False
all_genes,MIR1539,not an HGNC former symbol,,11,0.0205557528077289,620.7143054456637,False
all_genes,AC005237.4,not an HGNC former symbol,,10,0.0186870480070263,618.3710059261635,False
all_genes,RP11-1191J2.2,not an HGNC former symbol,,10,0.0186870480070263,618.2878917119879,False
all_genes,RP1-60O19.2,not an HGNC former symbol,,11,0.0205557528077289,614.471278424034,False
all_genes,AC110615.1,not an HGNC former symbol,,16,0.0298992768112421,612.9377631873806,False
all_genes,RP11-944L7.4,not an HGNC former symbol,,11,0.0205557528077289,603.6176901823897,False
all_genes,RP13-578N3.3,not an HGNC former symbol,,10,0.0186870480070263,597.6529046779351,False
all_genes,RP11-1M18.1,not an HGNC former symbol,,14,0.0261618672098368,595.9897636176081,False
all_genes,MIR3180-1,not an HGNC former symbol,,11,0.0205557528077289,586.2565780742509,False
all_genes,RP11-10L7.1,not an HGNC former symbol,,13,0.0242931624091342,581.6874457235621,False
all_genes,RP11-610P16.1,not an HGNC former symbol,,13,0.0242931624091342,581.4499913621014,False
all_genes,RP11-404L6.2,not an HGNC former symbol,,12,0.0224244576084315,577.5256189171238,False
all_genes,CTD-2292M14.1,not an HGNC former symbol,,12,0.0224244576084315,576.1451884573665,False
all_genes,RP11-159K7.2,not an HGNC former symbol,,6,0.0112122288042157,572.6098629652616,False
all_genes,GOLGA8M,not an HGNC former symbol,,11,0.0205557528077289,571.4997155421838,False
all_genes,HCG23,not an HGNC former symbol,,16,0.0298992768112421,570.2025548808462,False
all_genes,AC013264.2,not an HGNC former symbol,,13,0.0242931624091342,567.562386588501,False
all_genes,AC097495.2,not an HGNC former symbol,,13,0.0242931624091342,559.4820757697938,False
all_genes,CTC-492K19.4,not an HGNC former symbol,,10,0.0186870480070263,556.7474208047383,False
all_genes,AC004824.2,not an HGNC former symbol,,13,0.0242931624091342,551.9654277762901,False
all_genes,RP11-756H20.1,not an HGNC former symbol,,8,0.014949638405621,551.1759525058321,False
all_genes,U82695.9,not an HGNC former symbol,,13,0.0242931624091342,548.7168774054867,False
all_genes,RP11-630D6.5,not an HGNC former symbol,,10,0.0186870480070263,547.4010348579236,False
all_genes,RP11-96C21.1,not an HGNC former symbol,,12,0.0224244576084315,547.393988165735,False
all_genes,RP11-324J13.2,not an HGNC former symbol,,11,0.0205557528077289,541.5839933435211,False
all_genes,RP13-81N3.2,not an HGNC former symbol,,12,0.0224244576084315,540.4834308603658,False
all_genes,AC073284.4,not an HGNC former symbol,,13,0.0242931624091342,540.0223894038745,False
all_genes,RP11-275N1.1,not an HGNC former symbol,,11,0.0205557528077289,535.7803774376898,False
all_genes,CTC-479C5.6,not an HGNC former symbol,,10,0.0186870480070263,518.1011515134907,False
all_genes,Z99756.1,not an HGNC former symbol,,10,0.0186870480070263,514.1308410422356,False
all_genes,RP11-411H5.1,not an HGNC former symbol,,11,0.0205557528077289,513.5285144516974,False
all_genes,KB-1410C5.2,not an HGNC former symbol,,10,0.0186870480070263,506.81338082938674,False
all_genes,RP5-898J17.1,not an HGNC former symbol,,13,0.0242931624091342,500.5190782958291,False
all_genes,RP11-495P10.5,not an HGNC former symbol,,11,0.0205557528077289,498.5004691787821,False
all_genes,CTD-2033D15.1,not an HGNC former symbol,,10,0.0186870480070263,497.75954757361546,False
all_genes,CTD-2143L24.1,not an HGNC former symbol,,9,0.0168183432063236,497.1357108022432,False
all_genes,U51244.2,not an HGNC former symbol,,14,0.0261618672098368,496.6000092310809,False
all_genes,AC079776.3,not an HGNC former symbol,,6,0.0112122288042157,494.6570855754561,False
all_genes,CTC-458G6.2,not an HGNC former symbol,,4,0.0074748192028105,492.8544362422353,False
all_genes,RP11-632K5.3,not an HGNC former symbol,,9,0.0168183432063236,492.2011971399083,False
all_genes,AC069363.1,not an HGNC former symbol,,8,0.014949638405621,488.5492410879317,False
all_genes,RP11-544L8__B.4,not an HGNC former symbol,,10,0.0186870480070263,487.5947177467964,False
all_genes,RP5-857K21.4,not an HGNC former symbol,,16,0.0298992768112421,486.40225806604286,False
all_genes,AC007880.1,not an HGNC former symbol,,8,0.014949638405621,484.47930856448386,False
all_genes,AP000275.65,not an HGNC former symbol,,9,0.0168183432063236,483.6104279035548,False
all_genes,RP11-513G11.3,not an HGNC former symbol,,9,0.0168183432063236,480.6554714436476,False
all_genes,RP11-531H8.1,not an HGNC former symbol,,6,0.0112122288042157,477.9041991749512,False
all_genes,RP11-95M5.1,not an HGNC former symbol,,9,0.0168183432063236,474.61793097638497,False
all_genes,AC007879.6,not an HGNC former symbol,,7,0.0130809336049184,469.23353392984495,False
all_genes,RP11-903H12.3,not an HGNC former symbol,,8,0.014949638405621,465.6308920460696,False
all_genes,RP11-1008C21.1,not an HGNC former symbol,,10,0.0186870480070263,462.5814511280664,False
all_genes,RP11-121G22.3,not an HGNC former symbol,,7,0.0130809336049184,460.4441031688093,False
all_genes,RP11-481J2.2,not an HGNC former symbol,,8,0.014949638405621,460.1429198013797,False
all_genes,AC108051.3,not an HGNC former symbol,,5,0.0093435240035131,459.0613825604366,False
all_genes,RP11-747D18.1,not an HGNC former symbol,,10,0.0186870480070263,458.0386384967357,False
all_genes,RP11-662J14.2,not an HGNC former symbol,,9,0.0168183432063236,453.499710345331,False
all_genes,RP11-139K4.2,not an HGNC former symbol,,7,0.0130809336049184,453.2066111618654,False
all_genes,RP11-448G15.1,not an HGNC former symbol,,8,0.014949638405621,442.3742089132608,False
all_genes,CTD-2621I17.6,not an HGNC former symbol,,8,0.014949638405621,441.9564363832896,False
all_genes,RP4-666F24.3,not an HGNC former symbol,,13,0.0242931624091342,441.2693175464361,False
all_genes,CTD-2015G9.2,not an HGNC former symbol,,11,0.0205557528077289,441.1284523064443,False
all_genes,RP11-375O18.2,not an HGNC former symbol,,10,0.0186870480070263,440.5002464056836,False
all_genes,RP5-937E21.8,not an HGNC former symbol,,7,0.0130809336049184,436.90726571869726,False
all_genes,CTD-2024D23.1,not an HGNC former symbol,,9,0.0168183432063236,432.13932495139494,False
all_genes,XXbac-BPG308J9.3,not an HGNC former symbol,,9,0.0168183432063236,431.6599580916374,False
all_genes,RP11-153K11.3,not an HGNC former symbol,,7,0.0130809336049184,431.4498953628861,False
all_genes,RP11-15K3.1,not an HGNC former symbol,,14,0.0261618672098368,430.81647953714304,False
all_genes,RP11-778H2.1,not an HGNC former symbol,,10,0.0186870480070263,430.3946825358369,False
all_genes,RP11-464C19.3,not an HGNC former symbol,,11,0.0205557528077289,427.5527708712523,False
all_genes,AC007204.2,not an HGNC former symbol,,10,0.0186870480070263,425.4672756133009,False
all_genes,CTC-441N14.1,not an HGNC former symbol,,10,0.0186870480070263,424.6847937714631,False
all_genes,RP11-6B4.1,not an HGNC former symbol,,9,0.0168183432063236,419.16309136468806,False
all_genes,XX-DJ76P10__A.2,not an HGNC former symbol,,8,0.014949638405621,417.8549506029919,False
all_genes,AC010136.2,not an HGNC former symbol,,8,0.014949638405621,416.11627365312006,False
all_genes,RP11-320P7.2,not an HGNC former symbol,,9,0.0168183432063236,414.5216496581136,False
all_genes,RP11-1151B14.3,not an HGNC former symbol,,13,0.0242931624091342,412.35216639007535,False
