ccl_name_norm,cpd_name_norm,rep1,rep2,abs_diff,rel_diff
ncih1299,gsk4112,0.9308125,0.913875,0.01693750000000005,0.3258901663295653
ncih1299,gsk461364,0.51399375,0.389375,0.12461875,0.5093761883351978
ncih1299,gsk525762a,0.8803125,0.7344375,0.1458750000000001,1.4368825156496126
ncih1299,gw-405833,0.89225,0.8985333333333333,0.0062833333333333075,0.10960717496097339
ncih1299,gw-843682x,0.925375,0.7660625,0.15931249999999997,1.4149538231955023
ncih1299,hc-067047,0.9253125,0.8935625,0.031749999999999945,0.4971641057272527
ncih1299,hli 373,0.9184375,0.8816875,0.03675000000000006,0.7505761256346115
ncih1299,hyperforin,0.915,1.1984615384615385,0.28346153846153843,2.3454075873697002
ncih1299,i-bet151,0.8044375,0.6461875,0.15825,1.1357482997602517
ncih1299,ic-87114,0.9394375,0.9135,0.025937500000000058,0.21059447071617443
ncih1299,ifosfamide,0.915875,1.25,0.334125,1.1079584620828289
ncih1299,imatinib,0.9626875,0.9258125,0.03687499999999999,0.39201975750222
ncih1299,importazole,1.0218666666666667,0.8871875,0.13467916666666668,1.0373496655879004
ncih1299,indisulam,0.9716875,0.9411428571428572,0.030544642857142867,0.23381943494234295
ncih1299,ipr-456,0.924625,0.9066875,0.01793750000000005,0.1882588729380524
ncih1299,isoevodiamine,0.8699375,0.7625,0.10743750000000007,1.2751400466365312
ncih1299,isoliquiritigenin,0.91175,0.924125,0.012375000000000025,0.17406765882521105
ncih1299,isox,0.874125,0.8481333333333333,0.025991666666666746,0.3601841425598081
ncih1299,isox:bortezomib (250:1 mol/mol),0.7788125,0.6208625,0.15795000000000003,2.1158233827837907
ncih1299,itraconazole,0.9375,0.8349375,0.1025625,1.594693129785518
ncih1299,iu1,0.9299375,0.901,0.02893749999999995,0.5746770736530544
ncih1299,jq-1,0.7623125,0.6319375,0.1303749999999999,0.6973018376776021
ncih1299,jq-1:carboplatin (1:1 mol/mol),0.670875,1.0039166666666668,0.3330416666666668,2.807247885618012
ncih1299,jq-1:mk-0752 (1:1 mol/mol),0.749375,0.7387857142857143,0.010589285714285745,0.07782673625070859
ncih1299,jq-1:navitoclax (2:1 mol/mol),0.854,0.7412307692307691,0.11276923076923084,0.9370027990030079
ncih1299,jq-1:unc0638 (2:1 mol/mol),0.9136000000000001,0.9380833333333333,0.02448333333333319,0.17100975990595974
ncih1299,jq-1:vorinostat (2:1 mol/mol),0.822125,0.667,0.15512499999999996,1.4388649899355546
ncih1299,jw-480,0.9574375,0.8933125,0.0641250000000001,0.42263332779725804
ncih1299,khs101,0.80575,0.758625,0.04712499999999997,0.6148502751742152
ncih1299,ki8751,0.9748125,0.9691875,0.005624999999999991,0.03270161677278026
ncih1299,ko-143,0.9284375,0.9234666666666667,0.004970833333333369,0.07506137929727068
ncih1299,ku 0060648,0.7935625,0.7005,0.09306249999999994,0.4872377233525384
ncih1299,ku-0063794,0.9101333333333332,0.8234285714285715,0.08670476190476173,0.5429641600339603
ncih1299,ku-55933,0.8853125,0.8573125,0.027999999999999914,0.166681546148739
ncih1299,ku-60019,0.903375,0.8795333333333333,0.02384166666666676,0.16339696731009185
ncih1299,kw-2449,0.8755,0.9936153846153846,0.11811538461538462,1.1723552922156533
ncih1299,kx2-391,0.8486428571428571,0.6215769230769231,0.227065934065934,1.2679396372124023
ncih1299,l-685458,0.9942666666666666,1.2683636363636364,0.27409696969696973,1.2668624144166285
