drug,n_lines,spearman,pearson,true_std
brd-k41597374,26,0.11316239316239315,-0.034722606486564,0.06204120505230618
neratinib,27,0.39316239316239315,0.4849530801361024,0.13356136907110597
mgcd-265,27,-0.2673992673992674,-0.24439163994623106,0.06069957589820506
pyrazolanthrone,27,0.18986568986568983,0.19425667519116527,0.057209250567324316
rg-108,27,-0.0231990231990232,-0.050774076791727935,0.05508030828600494
ly-2183240,27,0.3315018315018315,0.5207487405763539,0.09614873692275637
etomoxir,27,-0.10866910866910866,-0.2127339617903936,0.06024416946869863
navitoclax,26,0.07282051282051281,-0.03764006676140472,0.11628064026505147
sb-225002,27,0.03418803418803419,0.127460430792187,0.0916609753288995
pictilisib,27,0.47863247863247865,0.36522090192965984,0.10447226485745321
nsc48300,27,0.05433455433455433,0.03234719422808652,0.06385227007570013
yk-4-279,27,0.2448107448107448,0.21331233230992597,0.0824091680591722
apicidin,27,0.27472527472527475,0.3667296208957762,0.12074636843606576
gsk4112,27,-0.10500610500610501,-0.028765155325300835,0.05216539177154784
brd-k24690302,27,0.07142857142857142,0.3641505803616583,0.061033688442666004
parbendazole,26,0.31555555555555553,0.3949863568539329,0.2032405437449856
axitinib,27,0.20024420024420023,0.19713263459043923,0.1178927769286142
triptolide,27,0.2796092796092796,0.2591686010511821,0.08725129781147559
jq-1,27,0.17155067155067155,0.04564515173127051,0.09756841298827851
triazolothiadiazine,27,0.20512820512820512,0.3180857100396526,0.17576382303377078
gmx-1778,27,-0.2863247863247863,-0.1557790629780671,0.10014537718810042
c6-ceramide,27,-0.427960927960928,-0.3240701740267017,0.05688837502436058
gemcitabine,27,0.3693528693528694,0.4096172086040913,0.22050903129992955
b02,27,-0.006105006105006104,0.07069441755582165,0.11918783904888124
bam7,27,0.15934065934065933,0.21843371211046336,0.06428431042526248
tpca-1,27,0.1800976800976801,0.1629887447997112,0.08881002025331775
ko-143,27,0.024420024420024417,-0.003932388776804879,0.06539711241212223
selumetinib,26,0.3709401709401709,0.5108387606772409,0.16972249823407762
obatoclax,26,0.1917948717948718,0.08322561156486803,0.10608146812271413
ouabain,27,0.4597069597069597,0.43101715979639876,0.20455251673995442
brd8899,27,0.1581196581196581,0.17730569261662743,0.05431343997629737
rohinitib,27,0.231990231990232,0.26059459514053074,0.15244558847448966
brd-k33199242,26,0.16786324786324786,0.0007523479778079739,0.07590186926299916
panobinostat,27,0.06837606837606838,0.16960577749232475,0.17203946326655045
