drug,n_lines,spearman,pearson,true_std
clofarabine,27,0.09218559218559218,0.11749678177207977,0.14770863242619356
sch-79797,27,-0.15445665445665446,-0.15848562594547133,0.09594015274482032
plx-4720,27,-0.03601953601953601,-0.2632601134247185,0.08024586694822214
brd-k41597374,26,0.02974358974358974,-0.04117977783300701,0.06204120505230618
neratinib,27,-0.5067155067155067,-0.4181293737285926,0.13356136907110597
mgcd-265,27,0.009157509157509158,-0.014387118825602993,0.06069957589820506
pyrazolanthrone,27,-0.07020757020757021,-0.18029189923793595,0.057209250567324316
rg-108,27,-0.11233211233211234,-0.026870799676646295,0.05508030828600494
ly-2183240,27,-0.030525030525030524,-0.036841946419486106,0.09614873692275637
etomoxir,27,-0.46092796092796096,-0.41054989768537764,0.06024416946869863
navitoclax,26,0.005811965811965812,-0.06496153713202123,0.11628064026505147
sb-225002,27,-0.1800976800976801,-0.08192086103362936,0.0916609753288995
pictilisib,27,-0.41147741147741146,-0.3945681298749554,0.10447226485745321
nsc48300,27,-0.2118437118437118,-0.3553899417731043,0.06385227007570013
yk-4-279,27,-0.41514041514041516,-0.18005040328491312,0.0824091680591722
apicidin,27,0.199023199023199,0.1431709047212657,0.12074636843606576
gsk4112,27,-0.15384615384615385,-0.17114321671608296,0.05216539177154784
brd-k24690302,27,0.32112332112332115,0.3411776813341289,0.061033688442666004
parbendazole,26,-0.28068376068376066,-0.0649224212299017,0.2032405437449856
axitinib,27,-0.15506715506715504,-0.17879826967173068,0.1178927769286142
triptolide,27,0.1978021978021978,0.31679406823920486,0.08725129781147559
jq-1,27,-0.5610500610500609,-0.32489672038410056,0.09756841298827851
triazolothiadiazine,27,0.014041514041514042,0.2099783012957842,0.17576382303377078
gmx-1778,27,0.43833943833943834,0.4696778688098981,0.10014537718810042
c6-ceramide,27,0.3089133089133089,0.333699744105026,0.05688837502436058
gemcitabine,27,-0.05006105006105006,0.016286636991640402,0.22050903129992955
b02,27,-0.04822954822954823,0.1126125406405599,0.11918783904888124
bam7,27,-0.1813186813186813,-0.034972504356492434,0.06428431042526248
tpca-1,27,-0.5592185592185592,-0.39793965876023574,0.08881002025331775
ko-143,27,0.26800976800976806,0.30084546458494266,0.06539711241212223
selumetinib,26,-0.04820512820512819,-0.05340732066997481,0.16972249823407762
obatoclax,26,-0.33606837606837603,-0.29119649138496373,0.10608146812271413
ouabain,27,-0.36996336996337,-0.3013155633116854,0.20455251673995442
brd8899,27,-0.23076923076923078,-0.2899070963220822,0.05431343997629737
rohinitib,27,-0.14163614163614163,-0.1254397150899064,0.15244558847448966
brd-k33199242,26,0.2205128205128205,0.19620655932030462,0.07590186926299916
panobinostat,27,0.0757020757020757,0.09653174989887799,0.17203946326655045
ruxolitinib,27,-0.37973137973137966,-0.34392557901079845,0.06823576617532916
carboplatin-etoposide (40-17 mol-mol),27,-0.13247863247863248,-0.13051173340097866,0.08184628614240261
quizartinib,27,-0.14285714285714285,-0.13282004464748703,0.07825511842694471
nvp-231,27,-0.1752136752136752,-0.06495180271572354,0.0743727096755116
pf-573228,27,-0.1746031746031746,-0.15616272624316965,0.07243640016460806
nilotinib,27,-0.0463980463980464,-0.006253856643957646,0.09398511877830398
cct036477,27,-0.11660561660561661,-0.028601441858597282,0.07402367892520266
"(1s,3r)-rsl3",26,0.3811965811965812,0.34396104310755293,0.17758391910060456
ml162,27,0.3278388278388278,0.4008253479506228,0.1536863400394372
alisertib,27,-0.09706959706959707,0.003594277151135479,0.10320615492513913
fumonisin b1,27,-0.14346764346764346,-0.10282443030115307,0.068380387048519
gant-61,26,-0.13572649572649573,-0.05473885284230455,0.0671517315212123
topotecan,27,0.09401709401709402,0.12561153392027385,0.11735042154198666
birinapant,26,-0.009914529914529914,0.008062884189392147,0.10509264162547732
azd8055,27,0.25946275946275943,0.1572754935342017,0.13850037038418908
telomerase inhibitor ix,27,-0.033577533577533576,0.03960096483472407,0.08484067613561286
ku-60019,27,-0.3937728937728938,-0.3968990138767905,0.07459062555758755
leptomycin b,27,0.07631257631257632,0.23589555377550092,0.21287774939860515
azd-7545,27,-0.009768009768009768,-0.00959256564038588,0.07615039983706341
linifanib,27,-0.004273504273504274,-0.03763242786995307,0.08588933160585702
manumycin a,27,0.13003663003663005,0.12419399334917866,0.0711823594047744
unc0638,27,-0.03540903540903541,-0.036150211854734285,0.07746129779599065
ver-155008,26,0.10495726495726496,0.07690041560419883,0.052680163121593925
spautin-1,27,0.16727716727716724,0.22920474180719064,0.08986597158262696
zebularine,27,-0.04945054945054945,-0.0685742410814434,0.060845288927551505
dexamethasone,27,-0.3156288156288157,-0.33091038567075903,0.10195361988047505
brd9876,27,-0.10927960927960927,-0.05923985181802763,0.11884678196793245
sirolimus-bortezomib (250-1 mol-mol),26,0.059829059829059825,0.28497107590750115,0.11991964212997579
hms3654n14,27,-0.09096459096459096,0.08411281886179844,0.12330004172063666
doxorubicin,26,0.23350427350427347,0.2636475564938572,0.11581067773028188
sonidegib,27,0.23931623931623933,0.23478478486003224,0.052300925159839744
tg-100-115,27,-0.07692307692307693,-0.09299726270564362,0.06238008320925206
ku-0063794,27,-0.057997557997558,-0.07634053023599593,0.07249663168346479
c646,27,0.26495726495726496,0.20471477969234497,0.060163359855479596
jw-480,27,-0.03540903540903541,-0.02890204278547394,0.05525035105609782
kx2-391,27,-0.15262515262515264,-0.0074620608794279605,0.19280099927046263
jq12,27,0.057997557997558,0.07216252529845547,0.0794138183571517
cay10618,27,0.17643467643467645,0.05900095331633756,0.14231399620876486
cd-437,27,-0.09096459096459096,-0.0053365990491941045,0.08354403162814253
imatinib,27,0.15323565323565325,0.14950661419884792,0.07682500169884171
mln2238,27,-0.17216117216117213,-0.204368251795217,0.09093227186815016
cerulenin,27,0.16178266178266176,0.19332036041140185,0.058257056479295584
le-135,27,0.1282051282051282,0.13615653520468873,0.08389333474117344
ml203,27,0.452991452991453,0.4291150307430941,0.06740312816035506
cytarabine hydrochloride,27,0.3241758241758242,0.21397239158231907,0.11527226683934443
myricetin,26,0.1275213675213675,0.14412664306746792,0.07435698136880023
crizotinib-plx-4032 (2-1 mol-mol),27,0.10927960927960927,0.09098682301454722,0.0835700691261649
ml050,27,0.231990231990232,0.07917932487813004,0.05456127434438139
docetaxel-tanespimycin (2-1 mol-mol),27,-0.052503052503052504,0.04825297351681584,0.212947870802253
navitoclax-plx-4032 (1-1 mol-mol),27,-0.231990231990232,-0.2960661067802824,0.11329957240049313
erastin,27,-0.043345543345543344,-0.050377099811095324,0.12272799755872271
erlotinib,26,-0.6177777777777778,-0.5269191588429236,0.12181294304016042
mdivi-1,27,-0.4218559218559218,-0.3402181681261708,0.06475894806118668
lovastatin,26,-0.14324786324786323,-0.04365560761210843,0.10550236826314026
cid-5951923,26,-0.03111111111111111,-0.09404027141961027,0.06645024113829368
niclosamide,26,-0.38051282051282054,-0.35026777457394737,0.11422157596666767
ciclopirox,27,0.0995115995115995,0.04267062892504116,0.07814057541492327
decitabine-carboplatin (1-1 mol-mol),26,-0.18974358974358974,-0.14562701070354356,0.08517713333520463
chir-99021,26,0.050940170940170934,-0.034414371446126454,0.10316207932999677
nsc23766,27,-0.03296703296703297,0.05063892711060215,0.08255375101416977
chm-1,26,-0.20410256410256405,-0.017111689457201734,0.10908927158434602
oxaliplatin,26,0.10974358974358973,0.09543158580591185,0.09663827432340082
semagacestat,27,0.12515262515262515,0.14524019796876314,0.05351351090646987
pik-93,27,-0.5091575091575091,-0.37027565319771666,0.08009681022854535
rita,27,0.25274725274725274,0.2130840914237091,0.18147375172491595
bml-281,27,-0.2686202686202686,-0.2590584493250411,0.08493124483229725
bibr-1532,27,-0.11782661782661781,-0.09254455497394366,0.07333708681103236
tipifarnib s enantiomer,27,0.13308913308913306,0.126699623443209,0.08277844508363161
prochlorperazine,27,-0.32844932844932845,-0.37872908322809323,0.05807032555522823
plx-4032,27,0.31746031746031744,0.33540703988628084,0.08361180687256702
azd7762,27,0.009157509157509158,0.06628114150225747,0.12758513338286434
azd6482,27,-0.026862026862026864,-0.07758390643188173,0.06254776898549874
sb-743921,27,-0.15018315018315015,-0.09366398472327403,0.23266449053966642
brd-k66453893,27,-0.23809523809523808,0.02329564930288737,0.09727694392627464
piperlongumine,26,-0.21435897435897436,-0.04882799730514381,0.0919211039949598
stemregenin 1,27,-0.14835164835164835,-0.12907567087186045,0.0671351313029877
at7867,27,0.045177045177045176,0.01434990299199325,0.10285110937098718
schembl16273428,26,-0.05367521367521367,0.026601681327549608,0.07554660005125712
brd1835,26,0.33128205128205124,0.27692758620061725,0.05199849308928786
parthenolide,27,0.07142857142857142,0.10808528131182603,0.11592438760516828
vorinostat,27,-0.15995115995115994,-0.11428861515872496,0.13106980862300188
5-fluorouracil,27,-0.2258852258852259,-0.17580801415928757,0.10387380870334602
vu0155056,27,0.01282051282051282,0.1039036019497966,0.05393998016990144
brd-a71883111,27,0.09768009768009767,0.20797026349698622,0.052079165772459
pi-103,27,0.08241758241758242,0.25264031736461107,0.10673261231742512
bortezomib,27,-0.14285714285714285,-0.07509096014465619,0.10720648162797286
mk-0752,27,-0.06471306471306472,-0.11369087882612544,0.05657247223531361
elocalcitol,26,0.3545299145299145,0.2597835046772021,0.08045207978249985
mim1,27,-0.30341880341880345,-0.26761540139572837,0.09945260440017889
entinostat,27,0.4554334554334554,0.45982260478001113,0.11897387868612738
sphingosine kinase 1 inhibitor ii,26,0.027692307692307693,0.1318176566825876,0.051863659394767975
brivanib,27,0.3412698412698412,0.2891025113515226,0.09566338949224651
olaparib,27,-0.28876678876678874,-0.19618280098171992,0.07172116262894773
su11274,27,0.11355311355311355,0.10095828417658419,0.07292297234918194
fingolimod,27,-0.10989010989010989,-0.15360952755896967,0.054893638709104374
betulinic acid,27,0.46336996336996333,0.4794341201088161,0.05838997586420134
selumetinib-unc0638 (4-1 mol-mol),27,-0.2277167277167277,-0.24616256724228874,0.15638467512328258
tretinoin-navitoclax (4-1 mol-mol),27,-0.3412698412698412,-0.22625990820468558,0.12861808582387274
tw-37,26,0.36615384615384616,0.3806338344763385,0.12828315396214823
agk-2,27,0.31929181929181927,0.32840729378058064,0.057677238647830205
jq-1-carboplatin (1-1 mol-mol),27,-0.5598290598290598,-0.40635280280029473,0.08944469333526804
i-bet-762,27,-0.47741147741147744,-0.5686551869140922,0.0858778707046791
icg-001,26,-0.08444444444444445,-0.021764552827460752,0.0893654205370072
idelalisib,27,-0.11965811965811966,-0.22303785224570497,0.06337922596090356
3-cl-ahpc,27,-0.013431013431013432,0.008440937846526522,0.10926059249873543
barasertib,27,-0.41147741147741146,-0.27942532304690704,0.0741484375580038
brd-k13999467,26,-0.3682051282051282,-0.35061551716011785,0.055980019052008424
regorafenib,26,0.06393162393162392,0.02231431217490254,0.08460532435780937
compound 23 citrate,25,-0.11846153846153845,-0.08781737968417941,0.05625171838654866
brd3308,26,0.23350427350427347,0.2236308796357929,0.057954368980244295
canertinib,26,-0.2998290598290598,-0.29287890074359546,0.14324474307881985
pci-34051,27,-0.01587301587301587,-0.060865748171630776,0.07098520781929568
brd-k85133207,27,0.1978021978021978,0.25390529418169117,0.054699363614779686
brd-k80183349,27,0.17155067155067155,0.1665775906476867,0.057031123874480665
brd-k71781559,26,0.1917948717948718,0.14366149866790773,0.07401688507157508
pl-di,27,0.04395604395604395,-0.007272258510184038,0.05277152806612774
npc-26,26,0.0010256410256410254,-0.0529029463000418,0.08406486510863495
platin,27,-0.11172161172161171,-0.04453478314117687,0.05038527506224869
navitoclax-sorafenib (1-1 mol-mol),27,-0.04395604395604395,-0.21412808241619719,0.12631585628338685
saracatinib,26,-0.3326495726495726,-0.26000555371459927,0.0998494084266492
brd-k34222889,27,-0.23321123321123322,-0.2780309411072981,0.07070816954813876
isoevodiamine,27,-0.4682539682539682,-0.30009419123268677,0.07407303789425639
brd-k28456706,27,-0.14041514041514042,-0.11419380847901267,0.07001386460631841
cr-1-31b,25,-0.046153846153846156,0.13791465786297508,0.2014113695609628
