drug,n_lines,spearman,pearson,pred_std,score,heads,rep,seed
rigosertib,146,-0.02499301090299134,-0.0029859129279120994,0.005195129498771238,mean_pv,K=545,X_scGPT,42
snx-2112,153,-0.05591523587985614,-0.0865201807261982,0.012301708382602724,mean_pv,K=545,X_scGPT,42
dasatinib,151,-0.05562216800278842,-0.05726202961990353,0.005166655797704979,mean_pv,K=545,X_scGPT,42
ml162,152,-0.09853470841107444,-0.02832679314806259,0.008074371923761751,mean_pv,K=545,X_scGPT,42
daporinad,141,0.17926728377432646,0.17008377958234136,0.06850744371298297,auc,K=10,X_pca,42
ml210,146,0.5526206703749049,0.5376384631309279,0.08263276126376817,auc,K=10,X_pca,42
gsk461364,144,0.43123141226589506,0.4117440009338031,0.07912998480170784,auc,K=10,X_pca,42
oligomycin a,141,0.10305279786385739,0.13755079343932516,0.06665480586615716,auc,K=10,X_pca,42
kx2-391,149,0.21165245782695447,0.22675109391965906,0.048891753409549224,auc,K=10,X_pca,42
methotrexate,147,0.3292963389376709,0.3035102106158991,0.05914853426482032,auc,K=10,X_pca,42
rigosertib,146,0.3039592029537371,0.30999077316985346,0.046029370734152385,auc,K=10,X_pca,42
snx-2112,153,0.3876797299403683,0.37143802664357173,0.044262858437333116,auc,K=10,X_pca,42
dasatinib,151,0.5186266991983269,0.5339588713082953,0.055669327099765395,auc,K=10,X_pca,42
ml162,152,0.5831407602063038,0.5804164133106071,0.07070754890270568,auc,K=10,X_pca,42
daporinad,141,0.22806651404879924,0.2269049240157048,0.05626933738823404,auc,K=10,X_scGPT,42
ml210,146,0.6230476319011309,0.5923220846387423,0.0916273235171567,auc,K=10,X_scGPT,42
gsk461364,144,0.5182099509685716,0.5165589499677983,0.08788659122556694,auc,K=10,X_scGPT,42
oligomycin a,141,0.2763785965974065,0.250012277776225,0.08007899474620908,auc,K=10,X_scGPT,42
kx2-391,149,0.33043352076909127,0.30729858966581797,0.04992993927400245,auc,K=10,X_scGPT,42
methotrexate,147,0.3210057508990458,0.3299290959968219,0.07148621707007502,auc,K=10,X_scGPT,42
rigosertib,146,0.3006044363895771,0.3280721478888761,0.039870781025156184,auc,K=10,X_scGPT,42
snx-2112,153,0.30578528319210646,0.2814465429639267,0.039160329463667494,auc,K=10,X_scGPT,42
dasatinib,151,0.5084245381666085,0.5396048494537464,0.0607340312603199,auc,K=10,X_scGPT,42
ml162,152,0.6333957256029601,0.6192462097936847,0.07395412999832662,auc,K=10,X_scGPT,42
daporinad,141,-0.06744088728212183,-0.10512014969392022,0.025517286714582418,auc,K=545,X_pca,42
ml210,146,-0.09477215543751748,-0.11597187366494294,0.022027199223404865,auc,K=545,X_pca,42
gsk461364,144,0.14184149184149186,0.13284436270554614,0.022231772339205987,auc,K=545,X_pca,42
oligomycin a,141,-0.11796788376273074,-0.09057201868019012,0.016245736341154955,auc,K=545,X_pca,42
kx2-391,149,0.08363867222927625,0.05287722454521547,0.02126784604867396,auc,K=545,X_pca,42
methotrexate,147,-0.1123186729015009,-0.1214075850397987,0.02469540268621462,auc,K=545,X_pca,42
rigosertib,146,0.16426980806493596,0.15956871271003556,0.012223343590254206,auc,K=545,X_pca,42
snx-2112,153,-0.07270701664030062,-0.04462993128471093,0.016911836252486098,auc,K=545,X_pca,42
dasatinib,151,0.006643429766469152,0.031856851448697265,0.01252721403136343,auc,K=545,X_pca,42
ml162,152,-0.050847848577312504,-0.09245303422993409,0.013504530011065177,auc,K=545,X_pca,42
daporinad,141,-0.041771952750519176,-0.11864522114544997,0.02062955611928204,auc,K=545,X_scGPT,42
ml210,146,-0.156017853527807,-0.14846680910148935,0.014679807900114427,auc,K=545,X_scGPT,42
gsk461364,144,0.14150791736998633,0.055436963117328396,0.006080980665006379,auc,K=545,X_scGPT,42
oligomycin a,141,-0.14224128704821062,-0.08801335029410128,0.018386130067688595,auc,K=545,X_scGPT,42
kx2-391,149,-0.11974242699074915,-0.07525741803120123,0.014872734722405067,auc,K=545,X_scGPT,42
methotrexate,147,-0.16304634247937222,-0.2094196318283218,0.01280583063850013,auc,K=545,X_scGPT,42
rigosertib,146,-0.0024466659597235214,0.011061249217276178,0.005887587971097306,auc,K=545,X_scGPT,42
snx-2112,153,-0.024261918822664885,-0.04225014416366082,0.007302568444663573,auc,K=545,X_scGPT,42
dasatinib,151,-0.07119205298013245,-0.11012363343821238,0.007738104664926258,auc,K=545,X_scGPT,42
ml162,152,-0.10818324020059461,-0.09026121032051115,0.009452040878987341,auc,K=545,X_scGPT,42
daporinad,141,0.18268995107886554,0.18902925858440087,0.41800091116152555,auc_z,K=10,X_pca,42
ml210,146,0.5949871304213703,0.5788568029914851,0.6092095960363744,auc_z,K=10,X_pca,42
gsk461364,144,0.3679406800096455,0.34134283245393265,0.4647766178777518,auc_z,K=10,X_pca,42
oligomycin a,141,0.27986334973221794,0.28026524831896016,0.42241544960082417,auc_z,K=10,X_pca,42
kx2-391,149,0.14665336477417015,0.13033681153349355,0.42612968345868296,auc_z,K=10,X_pca,42
methotrexate,147,0.28605456600985,0.2720686108138975,0.42861500235451183,auc_z,K=10,X_pca,42
rigosertib,146,0.25440505914222095,0.22910569465266076,0.43624724656835795,auc_z,K=10,X_pca,42
snx-2112,153,0.3696935429164676,0.3603591585988359,0.4912151338862613,auc_z,K=10,X_pca,42
dasatinib,151,0.5167723945625653,0.5278918222277758,0.6298708897522419,auc_z,K=10,X_pca,42
ml162,152,0.5974570949922346,0.5909943396704522,0.6112547670318024,auc_z,K=10,X_pca,42
daporinad,141,0.1424548808328236,0.12781484460908718,0.23674745329365912,auc_z,K=10,X_scGPT,42
