rep,seed,drug,program,cell_line,n_cells,rho,p,significant
X_pca,42,doxorubicin,EMTI_score,A204_SOFT_TISSUE,250,-0.2096780201478065,0.0008504060895832984,True
X_pca,42,doxorubicin,EMTI_score,A2058_SKIN,294,-0.024709736797796436,0.6730664386192062,False
X_pca,42,doxorubicin,EMTI_score,A375_SKIN,593,-0.016501604536141256,0.6884055733899982,False
X_pca,42,doxorubicin,EMTI_score,ACCMESO1_PLEURA,162,0.11740057610231149,0.13679190101675726,False
X_pca,42,doxorubicin,EMTI_score,ASPC1_PANCREAS,290,-0.14553047543438818,0.013108334571602931,False
X_pca,42,doxorubicin,EMTI_score,BCPAP_THYROID,152,-0.24434576239340983,0.002415332578125242,True
X_pca,42,doxorubicin,EMTI_score,BFTC909_KIDNEY,379,0.0363700528590126,0.480222869644552,False
X_pca,42,doxorubicin,EMTI_score,BHY_UPPER_AERODIGESTIVE_TRACT,145,0.17146585525437233,0.039193460686364597,False
X_pca,42,doxorubicin,EMTI_score,BICR16_UPPER_AERODIGESTIVE_TRACT,212,-0.15627857418748228,0.02284602160499508,False
X_pca,42,doxorubicin,EMTI_score,BICR31_UPPER_AERODIGESTIVE_TRACT,248,-0.04785631775577685,0.45309535571607684,False
X_pca,42,doxorubicin,EMTI_score,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.09698673759415605,0.3890471287567343,False
X_pca,42,doxorubicin,EMTI_score,BICR6_UPPER_AERODIGESTIVE_TRACT,286,-0.20930204524434065,0.00036570813740940494,True
X_pca,42,doxorubicin,EMTI_score,BT474_BREAST,125,-0.11222906651195848,0.21272979176165302,False
X_pca,42,doxorubicin,EMTI_score,BT549_BREAST,266,-0.06554617616149105,0.2868138930041126,False
X_pca,42,doxorubicin,EMTI_score,CAKI2_KIDNEY,278,0.05162789554702641,0.3911672413347412,False
X_pca,42,doxorubicin,EMTI_score,CALU6_LUNG,258,0.049988907041007266,0.4239762967142844,False
X_pca,42,doxorubicin,EMTI_score,CAMA1_BREAST,291,-0.06430566037466158,0.27422567303111384,False
X_pca,42,doxorubicin,EMTI_score,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.2374231822386193,0.005928452266385468,True
X_pca,42,doxorubicin,EMTI_score,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,-0.18076032885090407,0.004453132953186394,True
X_pca,42,doxorubicin,EMTI_score,COLO741_SKIN,329,0.4041015073829453,2.353142110345498e-14,True
X_pca,42,doxorubicin,EMTI_score,COLO792_SKIN,271,0.011889567927764442,0.8455266969320976,False
X_pca,42,doxorubicin,EMTI_score,COV434_OVARY,88,-0.051125581723496315,0.6361756698725756,False
X_pca,42,doxorubicin,EMTI_score,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,-0.1491087696079237,0.0574755832201374,False
X_pca,42,doxorubicin,EMTI_score,DKMG_CENTRAL_NERVOUS_SYSTEM,271,-0.20342337089880347,0.0007555590019176761,True
X_pca,42,doxorubicin,EMTI_score,EBC1_LUNG,186,-0.04871717167219582,0.5090440960085871,False
X_pca,42,doxorubicin,EMTI_score,EFE184_ENDOMETRIUM,86,0.0537954978607635,0.6227651027981487,False
X_pca,42,doxorubicin,EMTI_score,EFM192A_BREAST,333,0.010333988435758038,0.8509758087372219,False
X_pca,42,doxorubicin,EMTI_score,EKVX_LUNG,146,-0.16256345692572916,0.049944545600415835,False
X_pca,42,doxorubicin,EMTI_score,FTC133_THYROID,140,0.16290204251557605,0.05447148598510897,False
