rep,seed,drug,cell_line,n_cells,r2_confounds,r2_confounds_adj,rho_total_counts,rho_genes_detected,rho_mito_fraction,rho_cell_cycle_G1S,rho_cell_cycle_G2M
X_pca,42,doxorubicin,SKMEL5_SKIN,297,0.3513229484740277,0.3401772946677395,0.020126443572131246,0.11496627914474858,-0.2753102400753408,0.4216549618355662,0.4923120085935725
X_pca,42,doxorubicin,SKNAS_AUTONOMIC_GANGLIA,226,0.12713401397244206,0.10729615065363396,0.15278272668989093,0.20030231565857448,0.08463399737502111,0.14962582238838473,0.3123940582733162
X_pca,42,doxorubicin,SNU1079_BILIARY_TRACT,73,0.357814758882648,0.30989048715747247,0.5026224854991979,0.5343082808836235,0.29273108725163527,0.11374049335694608,0.063264094041852
X_pca,42,doxorubicin,SNU1214_UPPER_AERODIGESTIVE_TRACT,188,0.05149694495234791,0.02543916871477503,0.0806401947602533,0.08190349941714335,0.14121186837081706,0.11291838031211059,0.054083096820948855
X_pca,42,doxorubicin,SNU308_BILIARY_TRACT,94,0.07720870939913105,0.024777386069536167,0.15188437627659793,0.153798915577045,0.030365206083155724,0.17125497152656302,-0.11403470747476363
X_pca,42,doxorubicin,SNU423_LIVER,212,0.02824811027665175,0.004661899361036559,0.07504222329416003,0.10574612755518897,0.023418342479089863,-0.021364228739526384,0.14905545065410664
X_pca,42,doxorubicin,SNU449_LIVER,282,0.05359321657376004,0.03644816614937174,0.18109501082185797,0.17924184016608613,0.13402224593928536,0.03349799930006387,-0.06405062105785395
X_pca,42,doxorubicin,SNU46_UPPER_AERODIGESTIVE_TRACT,236,0.092966103709338,0.07324797552910622,-0.09409541373187197,-0.01907546879559476,0.06421870934462971,0.081503235438859,0.22514979462904078
X_pca,42,doxorubicin,SNU738_CENTRAL_NERVOUS_SYSTEM,379,0.039499103424988746,0.026623756285913514,-0.07879649418141865,-0.06836393446277687,-0.07010600379576909,0.009219857178969436,-0.13292147769881146
X_pca,42,doxorubicin,SNU899_UPPER_AERODIGESTIVE_TRACT,83,0.31015085846546364,0.2653554596645197,-0.3267285168548759,-0.29192292359656136,-0.051110364804164386,0.13107338704953778,0.17862390327861968
X_pca,42,doxorubicin,SNUC4_LARGE_INTESTINE,467,0.05270310859440752,0.042428738839466185,0.15499148178827207,0.15045164519464702,-0.014471929567829799,0.024776551289392306,-0.16748395644711656
X_pca,42,doxorubicin,SQ1_LUNG,238,0.030006055134941922,0.009101013219746767,0.024391606250294073,0.022969204006838734,0.1472482006943978,-0.07410877312870309,0.05102646657487108
X_pca,42,doxorubicin,SU8686_PANCREAS,82,0.08919817786112172,0.029277005351985075,-0.07425909600461468,-0.08089811821812998,0.10928265909165118,0.1769709238967004,-0.25608262907089524
X_pca,42,doxorubicin,SW1088_CENTRAL_NERVOUS_SYSTEM,128,0.13214787680748186,0.09658016684057535,0.21773713605566744,0.22801267516179122,0.017121406335835927,0.28745186007989915,0.1686993120242296
X_pca,42,doxorubicin,SW1271_LUNG,115,0.18523214273771804,0.1478574703862373,-0.016365501459796417,-0.03035599446087882,0.2654383334648465,0.10474339879976499,-0.3450419989058612
X_pca,42,doxorubicin,SW1990_PANCREAS,307,0.061494664586701275,0.04590487496189566,-0.025111377094515625,-0.04683278767942727,0.1443497742597187,0.14326465092438348,-0.12011660296171103
X_pca,42,doxorubicin,SW579_THYROID,217,0.03336285008521411,0.010456756485337615,-0.08678133382187837,-0.10635280688191716,0.01452834265796681,-0.09492433686572743,0.046916943211756594
X_pca,42,doxorubicin,T47D_BREAST,221,0.03335379056903054,0.010873646163659156,0.0009883600865955018,0.06284096505831212,-0.030672507143095374,0.12227616769053692,0.04800168099278633
X_pca,42,doxorubicin,TCCSUP_URINARY_TRACT,316,0.010185359782987069,-0.005779392478577616,-0.021476776275927055,-0.03719647033137049,0.0504089157125934,-0.004599908633136957,-0.05488929832296313
