rep,seed,drug,cell_line,n_cells,r2_confounds,r2_confounds_adj,rho_total_counts,rho_genes_detected,rho_mito_fraction,rho_cell_cycle_G1S,rho_cell_cycle_G2M
X_pca,42,doxorubicin,BICR16_UPPER_AERODIGESTIVE_TRACT,212,0.03651653846191438,0.01313101755079582,-0.04197141598585334,-0.021800618079912144,-0.024255881349079904,0.10665423159742195,-0.08934292411934301
X_pca,42,doxorubicin,BICR31_UPPER_AERODIGESTIVE_TRACT,248,0.18412033183806842,0.16726331390083848,-0.2898544681534024,-0.2600309466056493,0.300987678020427,-0.2254830170326478,0.11285279159105881
X_pca,42,doxorubicin,BICR56_UPPER_AERODIGESTIVE_TRACT,81,0.05091840799183511,-0.01235369814204268,0.04728997289972899,0.049120073179017204,0.1345980126467931,-0.09622854561878952,-0.0034891795911779645
X_pca,42,doxorubicin,BICR6_UPPER_AERODIGESTIVE_TRACT,286,0.016370502911803975,-0.0011943095361994782,0.06561732634947459,0.05532116533252089,-0.027242334045928396,0.05700357897890436,0.04257274429776854
X_pca,42,doxorubicin,BT474_BREAST,125,0.15664392523414927,0.12120879604230683,0.16618765927463425,0.2290159356404702,0.020577572964669735,0.10807423075797133,0.2531064177780437
X_pca,42,doxorubicin,BT549_BREAST,266,0.05718749300658976,0.03905648325671651,-0.08274155521696838,-0.057814397587049655,-0.00788668725024348,0.06790513098211551,-0.18149880570920732
X_pca,42,doxorubicin,CAKI2_KIDNEY,278,0.08724332271550739,0.07046470732424837,0.11279027730980956,0.13532189837241293,0.024937869664673526,0.27417390266334324,0.13998433857306683
X_pca,42,doxorubicin,CALU6_LUNG,258,0.206441647224045,0.19069644181182366,0.3652949051920978,0.3915490285725906,-0.013728207828289268,-0.20357361720059308,0.2230805364907362
X_pca,42,doxorubicin,CAMA1_BREAST,291,0.059210969722036544,0.04270589901540556,0.15823015430196447,0.1680624635226486,-0.07318564979620061,-0.02124143499363807,-0.018385812804663414
X_pca,42,doxorubicin,CAS1_CENTRAL_NERVOUS_SYSTEM,133,0.14265009731351042,0.10889616413687697,-0.21144448638557042,-0.23747777894043567,0.19990104161353178,-0.07692013405459154,-0.22123348725480804
X_pca,42,doxorubicin,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,246,0.08652594083525267,0.06749523126932044,0.012009935059379662,-0.01944533674261835,-0.1648085638916374,0.12172608929518103,0.14309675320933915
X_pca,42,doxorubicin,COLO741_SKIN,329,0.03501532476427016,0.020077481494367277,-0.14276027459750712,-0.11493613007345657,-0.04019403015251485,0.10125005317918936,0.027592045865734834
X_pca,42,doxorubicin,COLO792_SKIN,271,0.10368318177345959,0.08677154369371354,0.1024060916980522,0.09572718731446765,0.056526903504329165,0.18537256256265747,0.265619304963792
X_pca,42,doxorubicin,COV434_OVARY,88,0.2055503228479828,0.15710826936310363,-0.11958014863865311,0.026196797386738125,0.15651086611954496,0.3277050082839528,0.32115496385812187
X_pca,42,doxorubicin,DETROIT562_UPPER_AERODIGESTIVE_TRACT,163,0.042974397886891724,0.012495875526601585,-0.061723776746969924,-0.039661245908538915,0.0986582871963689,0.05880902239061716,0.11200237197534771
X_pca,42,doxorubicin,DKMG_CENTRAL_NERVOUS_SYSTEM,271,0.08255216041204894,0.06524182381604993,0.08953713811456475,0.02914086292988386,-0.12716518341654004,0.18442886493530972,0.09735481860846369
X_pca,42,doxorubicin,EBC1_LUNG,186,0.07680595592658845,0.051161676924549204,-0.05790599984148371,-0.09800884708203476,0.24435472215358361,-0.17604698067428717,-0.047654880460030816
X_pca,42,doxorubicin,EFE184_ENDOMETRIUM,86,0.14163370675489395,0.08798581342707479,0.04229444785131374,0.1539978300863248,0.2884758715033728,0.1923599449111026,0.1759242224851994
X_pca,42,doxorubicin,EFM192A_BREAST,333,0.05289246812372439,0.0384107015812738,-0.0464033009862101,-0.054156663457573216,0.220255028854697,-0.009731604584652899,-0.09349516445933381
X_pca,42,doxorubicin,EKVX_LUNG,146,0.18500869134472508,0.155901858892751,0.2737800639913971,0.2528351797552041,-0.13478256678202696,0.13691409225315151,0.3679430537468608
X_pca,42,doxorubicin,FTC133_THYROID,140,0.05609209641377366,0.020871652250108452,-0.12763375270810404,-0.14837499931886955,-0.04334040366491003,-0.13723762270182757,0.047969753492829684
X_pca,42,doxorubicin,GOS3_CENTRAL_NERVOUS_SYSTEM,191,0.2871964874115692,0.2679315276118819,0.34801440996765853,0.40252429115901606,0.11976267566822815,0.3915248508655801,0.4114959602688482
X_pca,42,doxorubicin,HCC1428_BREAST,127,0.02595223987420836,-0.014297667569006078,-0.11386857892763405,-0.11574971182786485,0.024213770153730777,-0.05963529842574102,-0.06181792084202755
X_pca,42,doxorubicin,HCC366_LUNG,202,0.03902372870557902,0.014509027907251948,-0.02396081825666575,-0.015250071249284099,0.1670661956277239,0.013034198300518506,-0.031385412560749865
X_pca,42,doxorubicin,HCC38_BREAST,200,0.13219026910759646,0.10982403892995718,0.12492012300307509,0.130232994199499,0.17710942773569344,0.051610619284228824,-0.23503130038649087
X_pca,42,doxorubicin,HCC56_LARGE_INTESTINE,99,0.17162330006806792,0.12708691835129737,0.342634508348794,0.2999718612237406,0.07975262832405688,-0.15296893311431545,-0.11239436358891375
X_pca,42,doxorubicin,HDQP1_BREAST,64,0.08668366499109426,0.007949498179981696,-0.01607142857142857,-0.07326007326007325,0.19807692307692304,-0.1967513364521813,-0.10467272605137948
X_pca,42,doxorubicin,HEC151_ENDOMETRIUM,250,0.12716369093946522,0.10927770099970013,0.07052389392289168,0.12987688739406147,0.12665098641578262,0.14148322003892724,0.24263662146238751
X_pca,42,doxorubicin,HEC251_ENDOMETRIUM,107,0.14040110865398325,0.09784670809229934,-0.14934694387411282,-0.10829490266030702,0.27828719214718156,-0.20255737689404935,-0.0191815512276521
X_pca,42,doxorubicin,HEC6_ENDOMETRIUM,161,0.15435054753889232,0.1270715329433727,-0.3417644352426962,-0.3458144475179327,0.15932827237175065,0.01306655777890127,-0.2449111340145644
X_pca,42,doxorubicin,HEP3B217_LIVER,118,0.173410788505987,0.13650948442143285,0.04886074377599802,0.0851770153903525,-0.0010919622086122585,-0.041410869304325415,0.37913573822548857
X_pca,42,doxorubicin,HMC18_BREAST,293,0.16575337099567977,0.15121945759839195,0.0944466104827383,0.20665078489478816,0.18809783018354848,-0.025639380348170544,0.19888035830117595
X_pca,42,doxorubicin,HOS_BONE,829,0.038624143401444266,0.032783463835231896,-0.05311420496421746,-0.040824050820084015,0.064089620136812,0.08723475666509306,0.10276543578092306
X_pca,42,doxorubicin,HS852T_SKIN,162,0.06592503068828237,0.0359867303898298,0.053049772708348326,0.08143904244829162,0.06889597367058023,-0.13390162407589715,0.12038218358372606
X_pca,42,doxorubicin,HT1080_SOFT_TISSUE,516,0.017461006402213042,0.007828271170862156,-0.024212327030710423,0.043115350824997636,0.018584212634067794,0.05954692508589447,0.08430028492566351
X_pca,42,doxorubicin,HT1197_URINARY_TRACT,74,0.14125986375031696,0.07811720667313438,0.023265457238059974,0.045094743390672695,0.15178082191780817,0.26172528693076635,0.34726397630507216
X_pca,42,doxorubicin,HT55_LARGE_INTESTINE,211,0.06294691080965842,0.040091957414772006,-0.006804971832245373,-0.006391086459154254,-0.1903833625017565,0.031035796556627318,-0.14132333258128443
