rep,seed,drug_a,drug_b,cell_line,n_cells,rho
X_scGPT,43,imatinib,crizotinib,RD_SOFT_TISSUE,261,-0.8190421230958214
X_scGPT,43,imatinib,crizotinib,RERFLCAD1_LUNG,243,0.28501440970392783
X_scGPT,43,imatinib,crizotinib,RERFLCAI_LUNG,763,0.35770715572053274
X_scGPT,43,imatinib,crizotinib,RT4_URINARY_TRACT,106,0.15705468927122956
X_scGPT,43,imatinib,crizotinib,RVH421_SKIN,239,-0.16241429626243803
X_scGPT,43,imatinib,crizotinib,SCC25_UPPER_AERODIGESTIVE_TRACT,898,-0.1571870070197939
X_scGPT,43,imatinib,crizotinib,SCC9_UPPER_AERODIGESTIVE_TRACT,475,-0.6980891925855928
X_scGPT,43,imatinib,crizotinib,SH10TC_STOMACH,351,0.48131202131202133
X_scGPT,43,imatinib,crizotinib,SKES1_BONE,91,0.036916706481923876
X_scGPT,43,imatinib,crizotinib,SKMEL2_SKIN,276,-0.8053024357529146
X_scGPT,43,imatinib,crizotinib,SKMEL30_SKIN,353,-0.814459050096684
X_scGPT,43,imatinib,crizotinib,SKMEL5_SKIN,297,-0.45080086187468743
X_scGPT,43,imatinib,crizotinib,SKNAS_AUTONOMIC_GANGLIA,226,0.09803126583758918
X_scGPT,43,imatinib,crizotinib,SNU1079_BILIARY_TRACT,73,-0.9613414784647663
X_scGPT,43,imatinib,crizotinib,SNU1214_UPPER_AERODIGESTIVE_TRACT,188,-0.8703646513408715
X_scGPT,43,imatinib,crizotinib,SNU308_BILIARY_TRACT,94,-0.9239822273597514
X_scGPT,43,imatinib,crizotinib,SNU423_LIVER,212,0.2546470812714974
X_scGPT,43,imatinib,crizotinib,SNU449_LIVER,282,0.5293260534019196
X_scGPT,43,imatinib,crizotinib,SNU46_UPPER_AERODIGESTIVE_TRACT,236,0.10433750960608432
X_scGPT,43,imatinib,crizotinib,SNU738_CENTRAL_NERVOUS_SYSTEM,379,-0.8009019911255711
X_scGPT,43,imatinib,crizotinib,SNU899_UPPER_AERODIGESTIVE_TRACT,83,-0.3403719407245707
X_scGPT,43,imatinib,crizotinib,SNUC4_LARGE_INTESTINE,467,0.6574995321663235
X_scGPT,43,imatinib,crizotinib,SQ1_LUNG,238,0.17827935156902658
X_scGPT,43,imatinib,crizotinib,SU8686_PANCREAS,82,-0.887093087798348
X_scGPT,43,imatinib,crizotinib,SW1088_CENTRAL_NERVOUS_SYSTEM,128,0.0014363211865958615
X_scGPT,43,imatinib,crizotinib,SW1271_LUNG,115,-0.9221415607985481
X_scGPT,43,imatinib,crizotinib,SW1990_PANCREAS,307,0.2568084977550393
X_scGPT,43,imatinib,crizotinib,SW579_THYROID,217,0.08335094913964403
X_scGPT,43,imatinib,crizotinib,T47D_BREAST,221,-0.7379223320399789
X_scGPT,43,imatinib,crizotinib,TCCSUP_URINARY_TRACT,316,-0.05260627910470183
X_scGPT,43,imatinib,crizotinib,TE10_OESOPHAGUS,219,0.11898499891462065
X_scGPT,43,imatinib,crizotinib,TE14_OESOPHAGUS,474,-0.7907284924919682
X_scGPT,43,imatinib,crizotinib,TE1_OESOPHAGUS,206,-0.21842635395539264
X_scGPT,43,imatinib,crizotinib,TE6_OESOPHAGUS,551,-0.5391378951672489
X_scGPT,43,imatinib,crizotinib,TE9_OESOPHAGUS,248,-0.5106139590358298
X_scGPT,43,imatinib,crizotinib,TM31_CENTRAL_NERVOUS_SYSTEM,116,-0.68308922461846
