rep,model,alpha,loss,seed,order,order_n_drugs,top_of_order,top_of_order_n_drugs,values,values_n_drugs,spread_slope,spread_slope_n_drugs,spread_intercept,spread_intercept_n_drugs,values_null
X_scGPT,mlp,1.0,mse,42,0.19588143048572748,11,0.23636363636363636,11,0.09858965678367224,11,0.375633394987154,11,0.5157422075595269,11,0.10022381433996223
X_scGPT,mlp,1.0,mse,43,0.2109472043046043,11,0.22727272727272727,11,0.09992377468487797,11,0.3714708324353131,11,0.5093745856737335,11,0.10022381433996223
X_scGPT,mlp,1.0,mse,44,0.20249842951922029,11,0.21818181818181823,11,0.09992071028185948,11,0.3810042688960423,11,0.5057472973725946,11,0.10022381433996223
X_scGPT,mlp,1.0,mae,42,0.22359472529454855,11,0.26363636363636367,11,0.09988281013702105,11,0.3844729567949564,11,0.4986537149333237,11,0.10022381433996223
X_scGPT,mlp,1.0,mae,43,0.206140152787395,11,0.23636363636363636,11,0.09971498344068083,11,0.3689980543750943,11,0.5170822273186189,11,0.10022381433996223
X_scGPT,mlp,1.0,mae,44,0.23452670948315432,11,0.2545454545454545,11,0.09879548162144686,11,0.4180932122580245,11,0.47365966884058364,11,0.10022381433996223
X_pca,mil,0.5,mse,42,0.23110281693656287,11,0.21818181818181823,11,0.11133340158702959,11,0.26826054193453897,11,0.5910327642302717,11,0.10022381433996223
X_pca,mil,0.5,mse,43,0.24450719102226345,11,0.21363636363636365,11,0.11592824471735855,11,0.26415336279616564,11,0.5863221978381626,11,0.10022381433996223
X_pca,mil,0.5,mse,44,0.24800546383436253,11,0.24090909090909085,11,0.10928894695336125,11,0.2962331658376819,11,0.5664457182780477,11,0.10022381433996223
X_scGPT,mil,0.5,mse,42,0.19577966688152856,11,0.2227272727272727,11,0.10175221288661357,11,0.35850642447821657,11,0.5248425107697554,11,0.10022381433996223
X_scGPT,mil,0.5,mse,43,0.22397453044593954,11,0.24999999999999997,11,0.09916200409041204,11,0.39286154663173783,11,0.492240648902763,11,0.10022381433996223
X_scGPT,mil,0.5,mse,44,0.23320598915789137,11,0.2318181818181818,11,0.10073375228704005,11,0.40177180697359527,11,0.48513615034051577,11,0.10022381433996223
