rep,alpha,loss,seed,drug,cell_line,n_cells,within_line_sd,line_mean_pred
X_pca,0.0,mse,42,doxorubicin,PANC0203_PANCREAS,506,0.030975719829153217,0.5786628763195083
X_pca,0.0,mse,42,doxorubicin,SW1990_PANCREAS,307,0.03216465027651695,0.6910863318738409
X_pca,0.0,mse,42,doxorubicin,RD_SOFT_TISSUE,261,0.031491322480346015,0.5427599339192855
X_pca,0.0,mse,42,doxorubicin,NCIH1792_LUNG,111,0.022876735187089717,0.5589224865307679
X_pca,0.0,mse,42,doxorubicin,PK45H_PANCREAS,271,0.016798649638192248,0.6279018349753095
X_pca,0.0,mse,42,doxorubicin,LS180_LARGE_INTESTINE,361,0.02456912867569259,0.6391062820717238
X_pca,0.0,mse,42,doxorubicin,RERFLCAI_LUNG,763,0.032235857785370685,0.6704952482470992
X_pca,0.0,mse,42,doxorubicin,CAMA1_BREAST,291,0.023993803076328635,0.6030718137308494
X_pca,0.0,mse,42,doxorubicin,SNU449_LIVER,282,0.02824779194158528,0.5779275913187798
X_pca,0.0,mse,42,doxorubicin,A204_SOFT_TISSUE,250,0.02297317955335808,0.5647128196954727
X_pca,0.0,mse,42,doxorubicin,MKN45_STOMACH,118,0.03259621624010863,0.6262513495097726
X_pca,0.0,mse,42,doxorubicin,HEP3B217_LIVER,118,0.022877874546925914,0.5810573954703444
X_pca,0.0,mse,42,doxorubicin,HOS_BONE,829,0.019474055739328894,0.5719412315740229
X_pca,0.0,mse,42,doxorubicin,EBC1_LUNG,186,0.030775046680591892,0.5860030917070245
X_pca,0.0,mse,42,doxorubicin,NCIH292_LUNG,213,0.023123177178547456,0.5573889365498449
X_pca,0.0,mse,42,doxorubicin,OUMS23_LARGE_INTESTINE,107,0.018347718385062852,0.597366900087517
X_pca,0.0,mse,42,doxorubicin,HEC151_ENDOMETRIUM,250,0.020853994983842532,0.6067818379402161
X_pca,0.0,mse,42,doxorubicin,NCIH1373_LUNG,164,0.03883654691151269,0.6154260966109066
X_pca,0.0,mse,42,doxorubicin,TE9_OESOPHAGUS,248,0.02086832133822385,0.5114582479000092
X_pca,0.0,mse,42,doxorubicin,HCC56_LARGE_INTESTINE,99,0.021967442799720776,0.620323713981744
X_pca,0.0,mse,42,doxorubicin,HT55_LARGE_INTESTINE,211,0.020071811102317382,0.6934138180520297
X_pca,0.0,mse,42,doxorubicin,RT4_URINARY_TRACT,106,0.015577320995587824,0.5867634769880546
X_pca,0.0,mse,42,doxorubicin,SKES1_BONE,91,0.02547692773921319,0.5254733077772371
X_pca,0.0,mse,42,doxorubicin,NCIH1435_LUNG,267,0.025342395606919567,0.561961533983102
X_pca,0.0,mse,42,doxorubicin,8305C_THYROID,459,0.019903023752602483,0.5602516308589179
X_pca,0.0,mse,42,doxorubicin,NCIH2228_LUNG,367,0.03362442583268639,0.5988997768316346
X_pca,0.0,mse,42,doxorubicin,TE10_OESOPHAGUS,219,0.022703387357547594,0.5829798870435045
X_pca,0.0,mse,42,doxorubicin,ASPC1_PANCREAS,290,0.018540666705246008,0.6182245492935181
X_pca,0.0,mse,42,doxorubicin,HCC366_LUNG,202,0.03098158135429329,0.6322357359499035
X_pca,0.0,mse,42,doxorubicin,BICR16_UPPER_AERODIGESTIVE_TRACT,212,0.023251941133114393,0.5486964026712021
X_pca,0.0,mse,42,doxorubicin,HEC6_ENDOMETRIUM,161,0.028992055419683412,0.567168958253742
X_pca,0.0,mse,42,doxorubicin,KALS1_CENTRAL_NERVOUS_SYSTEM,288,0.02005400002388799,0.5620619886451297
X_pca,0.0,mse,42,doxorubicin,NCIH2444_LUNG,237,0.028216374742120125,0.628919252111942
X_pca,0.0,mse,42,doxorubicin,SNU46_UPPER_AERODIGESTIVE_TRACT,236,0.022699111961112118,0.5836120247840881
X_pca,0.0,mse,42,doxorubicin,OAW28_OVARY,161,0.02164535770722151,0.6002563660189232
X_pca,0.0,mse,42,doxorubicin,SNU1214_UPPER_AERODIGESTIVE_TRACT,188,0.028533429385835397,0.5674126761707854
X_pca,0.0,mse,42,doxorubicin,SKMEL5_SKIN,297,0.01563738417879082,0.6144655374966888
X_pca,0.0,mse,42,doxorubicin,OVCAR4_OVARY,283,0.02248281542714925,0.6192950492612886
X_pca,0.0,mse,42,doxorubicin,UACC257_SKIN,239,0.023466984988647795,0.534285075370238
X_pca,0.0,mse,42,doxorubicin,ONCODG1_OVARY,270,0.023254388880119353,0.6056375362254955
X_pca,0.0,mse,42,doxorubicin,HUH28_BILIARY_TRACT,139,0.021285043000996033,0.5525246052433261
X_pca,0.0,mse,42,doxorubicin,IM95_STOMACH,185,0.0175252145453384,0.5849274261577709
