algorithm,fold,n_scored,Pearson,Spearman,R^2,MSE,per_drug_Spearman,n_drugs_scored
NaiveTissueDrugMeanPredictor,5,383,0.7473706651972434,0.7723739635826365,0.555389784646106,0.015546055498644648,0.1804152933545373,11
NaiveMeanEffectsPredictor,1,384,0.7036034581320002,0.7229979061408567,0.4882552792154874,0.018258977489572864,0.27162106258051505,11
NaiveMeanEffectsPredictor,2,384,0.7128512319932823,0.7475257281882609,0.5068763352425151,0.020350449428127738,0.306844989711374,11
NaiveMeanEffectsPredictor,3,384,0.7154932839730992,0.7413579566647451,0.5065966941950961,0.017396046207280982,0.3642832343682602,11
NaiveMeanEffectsPredictor,4,383,0.7634739592555776,0.7822645687805012,0.5793156752706491,0.01779472572701775,0.3064153303259317,11
NaiveMeanEffectsPredictor,5,383,0.7467221711264868,0.7765084395035063,0.5543705096104582,0.015581695044757982,0.36065892102329855,11
SingleDrugElasticNet (pca),1,384,0.7302290378515695,0.7674529866907474,0.5299118323590009,0.016772677709138224,0.5437547197562411,4
SingleDrugElasticNet (pca),2,384,0.6985893371150582,0.739994736447548,0.4875049273324853,0.021149877411813265,0.29088000298023475,7
SingleDrugElasticNet (pca),3,384,0.7202265982579534,0.730882560559576,0.5156772104892102,0.0170758921280928,0.2606964695165035,5
SingleDrugElasticNet (pca),4,383,0.7864588551780936,0.8082740796489276,0.6083397172531668,0.016567024012910315,0.21252264882561617,7
SingleDrugElasticNet (pca),5,383,0.7712982885165176,0.7972752984958945,0.5940340815420663,0.014194835118401,0.2748235864761577,5
SingleDrugRandomForest (pca),1,384,0.7022318346132395,0.7265591621172561,0.4867397433388442,0.018313051590061576,-0.028694849540682996,11
SingleDrugRandomForest (pca),2,384,0.6692236737155957,0.7092750754467464,0.44487599722040594,0.022909107293526007,0.06566301796821945,11
SingleDrugRandomForest (pca),3,384,0.7040323090448666,0.7238134091756808,0.4864251345220608,0.01810724003192025,0.03171673454374125,11
SingleDrugRandomForest (pca),4,383,0.7745526452376441,0.7993894218282231,0.5914093263519674,0.017283170645499644,0.08310690699298943,11
SingleDrugRandomForest (pca),5,383,0.7580715723652254,0.7787355781717771,0.5736439293086728,0.014907788683792743,0.09224739385788308,11
SingleDrugElasticNet (scgpt),1,384,0.7069445965025681,0.7220939125880459,0.4955245817427315,0.017999609828668873,,0
SingleDrugElasticNet (scgpt),2,384,0.673832723436623,0.705768416076682,0.45269571008254106,0.022586399862274207,,0
SingleDrugElasticNet (scgpt),3,384,0.7024403665382837,0.7122251139805071,0.488209685706401,0.018044321655620775,,0
SingleDrugElasticNet (scgpt),4,383,0.7698983358335858,0.7937722926264433,0.582580269513889,0.01765663510715491,,0
SingleDrugElasticNet (scgpt),5,383,0.7544419656943784,0.7725653361699631,0.5688939596443197,0.015073874143525453,,0
SingleDrugRandomForest (scgpt),1,384,0.7407844276653138,0.7770162931063715,0.5462789329824498,0.016188701930365184,0.2766581625780428,11
SingleDrugRandomForest (scgpt),2,384,0.7114732873839359,0.7510899511715439,0.5059654273728909,0.020388041184231327,0.24238386399002954,11
SingleDrugRandomForest (scgpt),3,384,0.7246896642587761,0.7458548794547489,0.5206637950387534,0.016900078844679842,0.18955902872549865,11
SingleDrugRandomForest (scgpt),4,383,0.7834645562140026,0.8112477017347205,0.6068031138425325,0.0166320215291858,0.1335218958547754,11
SingleDrugRandomForest (scgpt),5,383,0.7670287118168044,0.7989336134539937,0.588105388158227,0.01440213534047586,0.20840411850447216,11
